feature,bin,n,n_treated,n_control,events_treated,events_control,baseline_rate,treated_rate,effect,standard_error,log_risk_ratio,se_log_risk_ratio,risk_ratio,effect_ci_low,effect_ci_high
f6,3,1501052,1274657,226395,1769.0,212.0,0.0009364164402924093,0.0013878243323498009,0.0004514078920573915,7.22468317088869e-05,0.3934322789748565,0.07264344893757556,1.4820589137845903,0.00030980670391084686,0.0005930090802039362
f6,4,2030779,1724016,306763,1579.0,216.0,0.0007041266384798688,0.0009158847713710313,0.00021175813289116253,5.314595043944323e-05,0.2629323371295692,0.07251966606367209,1.3007387042596839,0.00010759398410570314,0.0003159222816766219
f6,5,2232482,1894088,338394,1187.0,163.0,0.00048168702754776974,0.0006266868276447557,0.00014499980009698594,4.1873881343264026e-05,0.263152355701459,0.08351015635592826,1.3010249224172974,6.292850077128474e-05,0.00022707109942268712
f6,6,3705545,3133761,571784,5859.0,851.0,0.001488324262308844,0.0018696384312651795,0.00038131416895633547,5.6520532825720246e-05,0.2280942290184431,0.0366564824292238,1.2562036906962741,0.0002705359602309099,0.000492092377681761
f8,0,1406431,1207773,198658,29258.0,3244.0,0.016329571424256763,0.024224750843080612,0.00789517941882385,0.000316904748965632,0.39439721065788763,0.018346071651593618,1.4834896895760505,0.007274057524321503,0.008516301313326195
f8,1,1442375,1228299,214076,4673.0,515.0,0.0024056876996954354,0.003804448265446768,0.0013987605657513327,0.00011956610518676431,0.4583351697867456,0.04637086900899545,1.5814389648034608,0.0011644153058135468,0.0016331058256891186
f8,2,1504765,1277400,227365,1444.0,159.0,0.000699316077672465,0.001130421167997495,0.00043110509032503,6.290890072805924e-05,0.48024273176727383,0.08352633056261284,1.6164667224009461,0.00030780591059102833,0.0005544042700590317
f8,3,1366697,1156633,210064,480.0,51.0,0.00024278315180135577,0.00041499766996099885,0.00017221451815964308,3.891177933540701e-05,0.5361042401484184,0.147260148846021,1.7093347165232797,9.594883208787543e-05,0.00024848020423141073
f8,4,8259324,7012550,1246774,856.0,94.0,7.539457832774826e-05,0.00012206686583339869,4.6672287505650434e-05,8.824509030397229e-06,0.4818336082325108,0.108653474403467,1.6190403678996788,2.9376567624823393e-05,6.396800738647748e-05
f9,0,11568147,9821021,1747126,4090.0,433.0,0.0002478355882746865,0.00041645364570547195,0.00016861805743078543,1.3572206776986914e-05,0.5190095847775432,0.050530123774889024,1.680362568606971,0.00014201702095716063,0.00019521909390441024
f9,1,1031772,877120,154652,3114.0,363.0,0.0023472053384372654,0.00355025538124772,0.0012030500428104546,0.00013847371330233084,0.413794136490191,0.05539264473112072,1.5125457168614944,0.0009316465519323611,0.0014744535336885481
f9,2,1379673,1184514,195159,29507.0,3267.0,0.01674019645519807,0.02491063845594058,0.00817044200074251,0.0003238019086448184,0.39748215878570187,0.01827602865332584,1.4880732446963292,0.0075358019216733374,0.008805082079811684
